ジャンル,中分類,タイトル,URL,a
音楽  ,ポップ,楽しい音楽ビデオ,https://www.youtube.com/watch?v=動画ID1
音楽  ,ロック,かっこいいロックビデオ,https://www.youtube.com/watch?v=動画ID2
教育  ,XX,わかりやすい数学解説,https://www.youtube.com/watch?v=動画ID3
教育  ,数学,わかりやすい数学解説,https://www.youtube.com/watch?v=動画ID3
教育  ,数学,わかりやすい数学解説,https://www.youtube.com/watch?v=動画ID3
ゲーム,aa,面白いRPGプレイ動画,https://www.youtube.com/watch?v=動画ID4
ゲーム,a,面白いRPGプレイ動画,https://www.youtube.com/watch?v=動画ID4
教育  ,数学,わかりやすい数学解説,https://www.youtube.com/watch?v=動画ID3
_教育 ,数学,わかりやすい数学解説,https://www.youtube.com/watch?v=動画ID3
プログラミング,Python,"AITuberを作ってみよう！サプーが引退の危機？！〜 Pythonを使って自動で喋るVTuber 〜",https://www.youtube.com/watch?v=WVpvExDPgOE
プログラミング,Python,"AIって何？どうやって勉強したら良いの？アイシア先生に教えてもらおう！！",https://www.youtube.com/watch?v=AKhwLYSiIic
プログラミング,Python,"Dockerより簡単！！Windowsで簡単にLinuxが動くWSLを使ってみよう！",https://www.youtube.com/watch?v=E1exh1g2tos
プログラミング,Python,"Excelの中にPythonコードが書ける！！Python in Excelの紹介！",https://www.youtube.com/watch?v=rZvWl0AMJL8
プログラミング,Python,"HTTPSでアプリを公開しよう！〜SSL証明書を使った暗号化通信のやり方〜Flaskで作ったWebアプリで実演",https://www.youtube.com/watch?v=Sal6riEzsZc
プログラミング,Python,"NVIDIAのGPUをAIで使ってみよう！〜 ローカルPCでAIを動かす〜 WSLを使ったバージョン",https://www.youtube.com/watch?v=K_lgT7Bba8k
プログラミング,Python,"Pydanticでバリデーションを簡単に実装しよう！〜安全性の高いPythonプログラムを作るために〜【データクラス強化版！】",https://www.youtube.com/watch?v=-pKEGIK0dQ8
プログラミング,Python,"PythonでPDFファイルを操作しよう！業務自動化・効率化で使える！！〜初心者向け〜 pypdf・reportlab",https://www.youtube.com/watch?v=1sjSCH9DhsY
プログラミング,Python,"Webページの見た目を整えよう！！【CSSの基本】〜初心者向け〜",https://www.youtube.com/watch?v=8F-EuKFvBEA
プログラミング,Python,"【AIで音声をテキストに変換】Whisperの使い方を解説！〜 Pythonを使って無料でSpeech-to-Textを動かそう 〜",https://www.youtube.com/watch?v=oFvdAZxvuWk
プログラミング,Python,"【AWS EC2入門】クラウド上にサーバを構築！SSH接続してFlaskのWebアプリをデプロイしてみよう！〜初心者向け〜",https://www.youtube.com/watch?v=AGmkG0wJ8LA
プログラミング,Python,"【DI】依存性の注入って何？！〜Pythonでオブジェクト指向プログラミング〜インターフェースを上手に使おう〜 VRアカデミアクリスマス企画〜",https://www.youtube.com/watch?v=PGkE_OfGB1M
プログラミング,Python,"【Django】PythonでWebアプリを作ろう！1時間半でDjangoの基本を学ぶ 〜 Webフレームワーク初心者向け 〜",https://www.youtube.com/watch?v=r9QUdzVGHJU
プログラミング,Python,"【Docker入門】初心者向け！Dockerの基本を学んでコンテナ型の仮想環境を作ろう！",https://www.youtube.com/watch?v=B5tSZr_QqXw
プログラミング,Python,"【Fast API 入門】PythonでWeb APIを作ってみよう！簡単にAPIが作れるフレームワークの紹介 〜初心者向け〜",https://www.youtube.com/watch?v=kZHdC-_yPgI
プログラミング,Python,"【GitHub入門】初心者向け！GitHubでチーム開発するための基本操作を解説！",https://www.youtube.com/watch?v=Dz95iUNt-fg
プログラミング,Python,"【Linux入門】初心者向け！Linuxの基本的なコマンド操作を学ぼう！  〜 Ubuntu 環境で実演〜",https://www.youtube.com/watch?v=IDIDa8HKOW4
プログラミング,Python,"【Pythonプログラミング】アダプターパターンの解説！〜デザインパターン第２弾〜 VRアカデミア クリスマスリレー",https://www.youtube.com/watch?v=wYLqsG1zQPo
プログラミング,Python,"【Pythonプログラミング】特殊メソッドを解説！自作クラスをもっとカスタマイズしよう！〜 初心者向け 〜",https://www.youtube.com/watch?v=17b8CKlY-zw
プログラミング,Python,"【Pythonプログラミング】賛否両論コード 〜どんなコードをどんな理由で書く？〜 初心者向け",https://www.youtube.com/watch?v=296XaXbQGFY
プログラミング,Python,"【Pythonプログラミング入門】メモ化で高速化！cacheデコレータを使ってみよう！〜初心者向け〜",https://www.youtube.com/watch?v=lRaSMlHY3aY
プログラミング,Python,"【Python入門】Pythonの基本を2時間半で学ぶ！〜初心者用チュートリアル〜 ゼロからPythonを始めよう！Python速習",https://www.youtube.com/watch?v=tCMl1AWfhQQ
プログラミング,Python,"【Vim】ターミナル・PowerShellでのファイル編集をVimで便利に！〜 初心者向け 〜",https://www.youtube.com/watch?v=RRoVRzoqMQ0
プログラミング,Python,"【エラーハンドリングの種類】言語によってこんなに違う！〜VRアカデミア６周年記念動画〜",https://www.youtube.com/watch?v=zo3fbIO397E
プログラミング,Python,"【サーバレス・コンピューティング】コードを書くだけでデプロイできる！！Cloud Functionsの使い方 〜 Twitter Bot 作成実演 〜",https://www.youtube.com/watch?v=RGQETby444E
プログラミング,Python,"【スピードUP】Pythonを速くさせる方法を13個ご紹介！！",https://www.youtube.com/watch?v=JlQSXTbMEqQ
プログラミング,Python,"【スプレッドシート】Pythonからスプレッドシートを操作しよう！〜業務効率化〜 初心者向け",https://www.youtube.com/watch?v=KkDt3GMS00k
プログラミング,Python,"【トイプロ TOYPRO】Pythonのプログラミングを解いてみよう！〜初心者向け〜",https://www.youtube.com/watch?v=JxcgxRTKawg
プログラミング,Python,"【トイプロ新機能紹介】Pythonプログラミングの苦手が見つけやすい！〜Python Study とは？〜",https://www.youtube.com/watch?v=3oHvb1Tqxe4
プログラミング,Python,"【リファクタリングの基本】プログラミング初心者向けにリファクタリングについて解説！",https://www.youtube.com/watch?v=dpuykHkw8QM
プログラミング,Python,"【前半部分のみ一般公開】Appleを創った怪物ウォズニアックを紹介！",https://www.youtube.com/watch?v=xUCQ5dsAw4c
プログラミング,Python,"【型チェック】mypyを使って静的型チェック！安全性を高めるために〜VRアカデミア５周年記念動画〜",https://www.youtube.com/watch?v=tnHzfeZnnKU
プログラミング,Python,"【書籍を発売】出版記念ライブ 〜 本の内容を解説！ 〜",https://www.youtube.com/watch?v=Y9WBX26m4e0
プログラミング,Python,"【朗報】ITエンジニア本大賞３位以内になりました！！デブサミのプレゼン大会に出て１位を決めるよ！！",https://www.youtube.com/watch?v=vGKJs30chmM
プログラミング,Python,"【業務効率化！】SlackをPythonから操作する方法を解説 〜 外部サービスと連携させよう！ 〜",https://www.youtube.com/watch?v=sCCuHr9WUg0
プログラミング,Python,"【業務自動化】PythonのDocstirngからドキュメントを自動生成！〜Sphinxを使ってみよう〜",https://www.youtube.com/watch?v=R7f5XLisp9k
プログラミング,Python,"【祝】チャンネル登録者10万人記念ライブ！！〜Python勉強用ロードマップ公開〜",https://www.youtube.com/watch?v=jFkR4dAqs1M
プログラミング,Python,"【話題の技術】ChatGPTのAPIをPythonから使う方法を解説！APIを使って議事録の要約プログラムを作ってみた！〜人工知能の進化が凄すぎる〜",https://www.youtube.com/watch?v=kodz6fzbAUA
プログラミング,Python,"【電脳少女プログラミング2088】プログラミングしながらゲームを攻略！！AIがサプーのソースコードを辛口レビュー？！",https://www.youtube.com/watch?v=PJ1x51mSe-A
プログラミング,Python,"【非同期処理】Pythonの async / await 構文を使ってみよう！",https://www.youtube.com/watch?v=KnNWw5HX20w
プログラミング,Python,"サプーの姿が新しくなります！！〜 新３Dモデルをお披露目 〜",https://www.youtube.com/watch?v=V979LbYA35c
プログラミング,Python,"テストでの網羅率を測ろう！！カバレッジ測定ができるpytest-covを解説！〜Python 初心者向け〜",https://www.youtube.com/watch?v=VmhQu0GgH5c
プログラミング,Python,"マシュマロ返しライブ！！みんなの質問に答えるよ！！",https://www.youtube.com/watch?v=hF31PH8ZdN8
プログラミング,Python,"メモリーを解放して効率的にプログラムを動かそう！ 【ガベージコレクション】〜初心者向け〜 gcモジュール",https://www.youtube.com/watch?v=yKwMzKaOgOY
プログラミング,Python,"初心者は何を使えばいい？【Pythonの仮想環境を比較】〜オススメを紹介 〜",https://www.youtube.com/watch?v=r4SkIhQThe0
プログラミング,Python,"前代未聞？！VTuberがPythonプログラミングの書籍を出版！！ #サプー #Shorts",https://www.youtube.com/watch?v=TocYQnuN2FE
プログラミング,Python,"新バージョンのPythonはどう変わった？！【Python3.13の新機能を紹介】JITコンパイラーとGILの無効化って何？",https://www.youtube.com/watch?v=AqnIuIcCiwg
プログラミング,Python,"業務効率化！【画面操作を自動化しよう】〜PyAutoGUIを解説〜初心者向け",https://www.youtube.com/watch?v=c85tbunlF2c
プログラミング,Python,"誤差を解消しよう！！Decimalの使い方〜Python初心者向け〜",https://www.youtube.com/watch?v=jyzaq33vEGE
プログラミング,Python,"【超簡単Webアプリ】streamlitでWebアプリを最速で作ってネット公開！〜 プログラミング初心者向け 〜",https://www.youtube.com/watch?v=4nsTce1Oce8